word,reading,meaning,partOfSpeech
"それほど","それほど","那样地；（并非）那么地……","副"
"ちっとも","ちっとも","一点也（不）","副"
"ちょっぴり","ちょっぴり","（数量少、程度等小）一点","副"
"つまり","つまり","总之，归根结底","副"
"テニスコート","テニスコート","网球场","名"
"テント","テント","帐篷","名"
"トン","トン","吨","名"
"中々","なかなか","很，相当；（不）容易，（不）简单","副"
"なるべく","なるべく","尽量，尽可能","副"
"伸び伸び","伸び伸び","舒展状，自由轻松状","副"
"はあ","はあ","是；（反问或惊讶）啊","感"
"パート","パート","部分；打零工","名"
"ぱちぱち","ぱちぱち","（小而硬的东西连续敲打的）啪啪声；（火花、油等）飞溅状；不断地眨眼状","副・自動3"
"びりびり","びりびり","撕纸或布的声音⓪；窗玻璃等细微震动的样子①；（皮肤触电般地）刺痛、麻痛①","副"
"ほら","ほら","（用于提醒）喏，瞧","感"
"皆","皆","大家；全部","名・代・副"
"宜しい","よろしい","可以，好；没关系","イ形・補形"
"わくわく","わくわく","（因期待或喜悦等）兴奋","副・自動3"
"碗","椀[わん]","碗，木碗","名"
"愛犬","愛犬","爱犬","名"
"移転","移転","迁移；搬家","名・自他動3"
"遺産","遺産","遗产","名"
"医学","医学","医学","名"
"育てる","育てる","养育，培育；使发展","他動2"
"営業","営業","营业，经商","名・自他動3"
"影響","影響","影响","名・自動3"
"液","液","液体","名"
"横断","横断","横断；横渡","名・自他動3"
"音楽家","音楽家","音乐家","名"
"下宿","下宿","寄宿在别人家","名・自動3"
"下痢","下痢","腹泻","名・自動3"
"家内","家内","内人，妻子","名"
"花束","花束","花束","名"
"絵文字","絵文字","绘画文字；表情符号","名"
"各種","各種","各种，各样","名"
"格好","格好","（人或物的）外观，外表","名"
"革命","革命","革命","名"
"割に","割に","出乎意料；格外","副"
"寒帯","寒帯","寒带","名"
"環境","環境","环境","名"
"看護婦","看護婦","女护士","名"
"缶","缶","（金属制的）罐，桶；罐头","名"
"間接","間接","间接；委婉","名"
"岸","岸","岸，岸边","名"
"願い","願い","愿望，期望；申请书","名"
"喜び","喜び","喜悦；道喜","名"
"奇数","奇数","奇数","名"
"機会","機会","机会","名"
"気","気","气；心情；意志，知觉","名"
"気候","気候","气候","名"
"気体","気体","气体","名"
"汽車","汽車","蒸汽火车","名"
"記念","記念","纪念，留念","名・他動3"
"技師","技師","技师，工程师","名"
"喫茶","喫茶","喝茶","名"
"許す","許す","原谅；允许","他動1"
"叫ぶ","叫ぶ","呼喊；呼吁，主张","他動1"
"鏡","鏡","镜子","名"
"驚く","驚く","吃惊，惊讶","自動1"
"区間","区間","区间","名"
"具合","具合","健康状况；（机器）状态；情况，样子；方便","名"
"空間","空間","空间","名"
"空気調節","空調","空调，空气调节","名"
"係る","係る","有关系","自動1"
"係員","係員","（专门负责某项业务）工作人员，负责人","名"
"形","形","形状，轮廓；形式","名"
"計る","計る","（时间、数量等）计量","他動1"
"血","血","血","名"
"研究室","研究室","研究室","名"
"言語","言語","言语，语言","名"
"公務員","公務員","公务员","名"
"広さ","広さ","面积；宽度，幅度","名"
"港","港","港口，码头","名"
"郊外","郊外","郊外，城外","名"
"香り","香り","芳香","名"
"高等","高等","高等","名・ナ形"
"合唱","合唱","合唱","名・他動3"
"国土","国土","国土，领土","名"
"最古","最古","最早，最古老","名"
"済ます","済ます","使结束；将就，凑合","他動1"
"産業","産業","产业，工业","名"
"「聞く」「尋ねる」「行く」「訪ねる」の謙譲語","伺う","请教，打听；拜访","自他動1"
"刺身","刺身","生鱼片；生肉片","名"
"姿","姿","姿态，姿势","名"
"指す","指す","（用手等）指；指名；朝向","他動1"
"枝","枝","树枝","名"
"糸","糸","线；丝","名"
"詩","詩","诗","名"
"資料","資料","资料，材料","名"
"辞典","辞典","词典，辞典","名"
"実際","実際","事实，实际；的确","名・副"
"写る","写る","映，照","自動1"
"社会人","社会人","参加工作的人","名"
"者","者","人","名"
"邪魔","邪魔","妨碍；打扰","名・ナ形・他動3"
"受話器","受話器","（电话机等的）听筒","名"
"収入","収入","收入","名"
"周り","周り","周围，四周；附近","名"
"重要","重要","重要，要紧","ナ形"
"女房","女房","（自己的）妻子，老婆","名"
"小便","小便","小便","名・自動3"
"少々","少々","少许；稍微","名・副"
"承知","承知","知道；答应，允许","名・他動3"
"松","松","松树","名"
"世の中","世の中","世间；社会","名"
"精神","精神","精神，意识","名"
"製造","製造","制造，生产","名・他動3"
"赤字","赤字","赤字，亏空","名"
"早退","早退","早退","名・自動3"
"騒ぎ","騒ぎ","吵闹，喧嚣；骚乱","名"
"「思う」の謙譲語・丁寧語；「知る」 「承知する」の謙譲語","存じる","想，打算，认为；知道，认识","他動2"
"体操","体操","体操","名・自動3"
"大型","大型","大型，巨型","名"
"大地","大地","大地","名"
"大都会","大都会","大城市","名"
"地","地","大地，土地；��所","名"
"地理","地理","地理","名"
"「する」の丁寧語・謙譲語","致す","做；致以","自他動1・補動"
"竹","竹","竹子","名"
"超える","超える","超出，超过，多出","自動2"
"通り","通り","大街；来往；流通；一样，同样","名"
"浸ける","漬ける","（漬）腌菜；（浸）浸泡","他動2"
"底","底","底，底部；深处","名"
"庭園","庭園","庭园","名"
"泥","泥","泥土","名"
"展覧会","展覧会","展览会","名"
"伝わる","伝わる","传；传播；闻名；传导；传入","自動1"
"電灯","電灯","电灯","名"
"電報","電報","电报","名"
"難い","難い","难的","イ形"
"任せる","任せる","托付；任凭","他動2"
"認める","認める","承认；允许，认可","他動2"
"年度","年度","年度（通常从4月到次年3月）","名"
"馬鹿","馬鹿","愚蠢，笨蛋","名・ナ形"
"麦","麦","麦，麦子","名"
"発展","発展","发展","名・自動3"
"犯人","犯人","罪犯","名"
"飛行場","飛行場","飞机场","名"
"不自由","不自由","不便；不好使","名・ナ形・自動3"
"不親切","不親切","冷淡；不周到","名・ナ形"
"米","米","稻米，大米","名"
"変化","変化","变化","名・自動3"
"編み物","編み物","编织物，编织；毛线活","名"
"編む","編む","编织；编辑","他動1"
"捕まえる","捕まえる","抓住；逮捕","他動2"
"報告","報告","报告，汇报","名・他動3"
"法律","法律","法律","名"
"亡くす","亡くす","死，丧","他動1"
"満足","満足","满足；令人满意","名・ナ形・自動3"
"無駄","無駄","徒劳；白费","名・ナ形"
"命","命","生命；命根子","名"
"毛","毛","毛，头发","名"
"木綿","木綿","木棉；棉花","名"
"黙る","黙る","沉默，不作声","自動1"
"目の前","目の前","眼前，面前；迫在眉睫","名"
"目的","目的","目的，目标","名"
"目薬","目薬","眼药水","名"
"夜景","夜景","夜景","名"
"有料","有料","收费，需付费","名"
"様子","様子","情况；姿态；迹象；样子","名"
"用紙","用紙","（特定用途、固定格式的）纸张，表格","名"
"理解","理解","理解；体谅","名・他動3"
"離れる","離れる","离；离开","自動2"
"流れる","流れる","流，流动；传开","自動2"
"冷暖房","冷暖房","冷暖气设备","名"
"礼","礼","礼貌；行礼；道谢","名"
"礼金","礼金","（租房时的）酬谢金","名"
"論文","論文","论文","名"
"和服","和服","和服","名"
"あいにく","あいにく","不凑巧，偏巧","副・ナ形"
"アクション","アクション","行动；武打等演技","名"
"アクセント","アクセント","重音；声调；（文章或设计等的）重点","名"
"或いは","あるいは","或者","副・接"
"あれこれ","あれこれ","这个那个，种种","代・副"
"何れ","いずれ","哪个；迟早会","代・副"
"一々","いちいち","一一，逐一","副"
"何時か","いつか","（指未来）总有一天，早晚；（指过去）曾经；不知不觉","副"
"いつの間にか","いつの間にか","不知什么时候，不知不觉中","副"
"いよいよ","いよいよ","越来越；真的，确实；终于","副"
"噂[うわさ]","噂[うわさ]","在背后议论别人；传闻，风言风语","名・他動3"
"エスカレーター","エスカレーター","电动扶梯","名"
"オートメーション","オートメーション","自动化","名"
"凡そ","およそ","大体；凡是；完全（不）","名・副"
"お代わり","お代わり","再来一份，再来一碗","他動3・名"
"カーブ","カーブ","转弯处，弯曲","名・自動3"
"却って","かえって","反倒，反而","副"
"きっかけ","きっかけ","开端；机会，契机","名"
"くしゃみ","くしゃみ","喷嚏","名"
"ぐっすり","ぐっすり","酣睡，熟睡","副"
"くどい","くどい","啰嗦；（味道或颜色）过于浓厚","イ形"
"汲[く]む","汲[く]む","打水；斟，倒","他動1"
"こうして","こうして","这样，于是","副・接"
"コスト","コスト","成本，生产费","名"
"こっそり","こっそり","悄悄地，偷偷地","副"
"見ることをいう尊敬語","御覧","看，请看","名"
"流石","さすが","真不愧是；到底，还是","副・ナ形"
"さっさと","さっさと","赶快地，迅速地","副"
"早速","さっそく","马上；迅速","副"
"さて","さて","（用于承上启下或转换话题）那么","接"
"サンプル","サンプル","样品","名"
"しあさって","しあさって","大后天","名"
"しかも","しかも","而且；但，却","接"
"しばしば","しばしば","屡次","副"
"しゃがむ","しゃがむ","蹲下","自動1"
"シャッター","シャッター","快门；卷拉门","名"
"シリーズ","シリーズ","系列，丛书；（体育）联赛","名"
"シルク","シルク","丝绸","名"
"即ち","すなわち","即；即是","接"
"折角","せっかく","特地；好不容易，难得","副"
"セット","セット","一套；布景；做头发；调好","他動3・名"
"そのうち","そのうち","不久；过几天","副"
"その上","その上","而且，并且","接"
"ソフトウェア","ソフトウェア","软件","名"
"ダウンロード","ダウンロード","下载","他動3・名"
"だが","だが","但是，可是","接"
"但し","ただし","但，但是","接"
"だって","だって","（对对方的话或之前提到的事情表示反对）可是；即使；听说","接・副助"
"騙す","だます","欺骗；哄","他動1"
"つい","つい","（表示时间、距离很近）就在眼前，刚刚；不由得","副"
"摑む","つかむ","抓，抓住；掌握","他動1"
"デザイナー","デザイナー","设计师","名"
"テンポ","テンポ","拍子；（发展）速度","名"
"どうせ","どうせ","终归，反正","副"
"トランク","トランク","行李箱；后备箱","名"
"ナイロン","ナイロン","尼龙","名"
"尚","なお","仍然；更加，还有","副・接"
"睨む","にらむ","瞪；凝视；估计，推测","他動1"
"パターン","パターン","模式；式样","名"
"流行[はや]り","流行[はや]り","流行，时髦","名"
"ビタミン","ビタミン","维生素","名"
"ぴったり","ぴったり","合适；准确无误","副・自動3"
"プログラム","プログラム","节目单；计划表；（电脑）程序","他動3・名"
"ふわふわ","ふわふわ","［副・自動3］轻飘飘；［ナ形］软绵绵；心神不定","副①・自動3①・ナ形⓪"
"蒔[ま]く","蒔[ま]く","播种","他動1"
"まさか","まさか","怎能，想不到，难道；万一","副・名"
"纏まる","まとまる","归纳；谈妥；凑齐","自動1"
"間も無く","まもなく","不久，一会","副"
"ミリメートル","ミリメートル","毫米","名"
"メーター","メーター","米；计量器","名"
"めでたい","めでたい","值得祝贺的；圆满的","イ形"
"メンバー","メンバー","成员，分子","名"
"若しも","もしも","万一，倘若","副"
"漸く","ようやく","总算；渐渐","副"
"ラッシュアワー","ラッシュアワー","（上下班）高峰时间","名"
"リサイクル","リサイクル","（废品）再利用","名"
"ロッカー","ロッカー","衣帽柜，存放柜","名"
"ロボット","ロボット","机器人；自动装置","名"
"安定","安定","稳定；安稳","ナ形・名・自動3"
"案外","案外","意外，出乎意料","ナ形・副"
"以後","以後","今后；之后","名"
"以降","以降","以后，之后","名"
"偉大","偉大","伟大，出色","ナ形・名"
"囲む","囲む","包围","他動1"
"意義","意義","意思；意义","名"
"意志","意志","意志，志向","名"
"意識","意識","神智；意识","名・他動3"
"移動","移動","移动，转移","名・自他動3"
"医療","医療","医疗，治疗","名"
"一休み","一休み","歇一会儿","名・自動3"
"一言","一言","一句话，三言两语","名"
"一口","一口","一口；一点；一句话；一股，一份","名"
"一瞬","一瞬","一瞬间","名"
"一体","一体","一体；到底，究竟；本来；大体上，总的说来","副・名"
"一方","一方","一个方面；单方面；一直","名・接"
"一流","一流","第一流，最好的","名"
"印","印","记号；象征","名"
"印象","印象","印象","名"
"引き受ける","引き受ける","承担，接受；保证","他動2"
"引っ張る","引っ張る","拉，拽；带领；拉拢；硬拉","他動1"
"陰","陰","背阴处；背后，暗地","名"
"隠す","隠す","隐藏；掩饰","他動1"
"隠れる","隠れる","隐藏；隐遁","自動2"
"運","運","运，运气","名"
"影","影","影子；映像","名"
"液体","液体","液体，液态","名"
"延ばす","延ばす","延长（距离）；拖延（时间）","他動1"
"援助","援助","援助，支援","名・他動3"
"演奏","演奏","演奏","名・他動3"
"汚染","汚染","污染","名・自他動3"
"応対","応対","应对；接待，应酬","名・自動3"
"応用","応用","应用，运用","名・他動3"
"穏やか","穏やか","平稳；温和","ナ形"
"下る","下る","下去；宣判；少于；从中央到地方","自動1"
"下車","下車","下车","名・自動3"
"下水","下水","脏水；下水道","名"
"下駄","下駄","木屐","名"
"何となく","何となく","总觉得，不由得","副"
"価値","価値","价值","名"
"嫁","嫁","儿媳；新娘；妻子","名"
"火災","火災","火灾","名"
"苛める","いじめる","欺负，虐待","他動2"
"我々","我々","我们；我","代"
"芽","芽","芽；苗头","名"
"会館","会館","（集会和活动的场所）会馆","名"
"解く","解く","解开；解答","他動1"
"解ける","解ける","松了；（情绪等）缓解；解开","自動2"
"解説","解説","解说，讲解","名・他動3"
"解放","解放","解放；摆脱","名・他動3"
"悔しい","悔しい","令人懊悔，气愤","イ形"
"懐かしい","懐かしい","留恋的，怀念的","イ形"
"改善","改善","改善","名・自他動3"
"改造","改造","改造","名・他動3"
"開通","開通","开通","名・自動3"
"開放","開放","打开；对外开放","名・他動3"
"外す","外す","取下，摘下，解开；偏离；除名","他動1"
"外れる","外れる","脱落；偏离；落空","自動2"
"外部","外部","外部","名"
"害","害","害，害处","名"
"拡大","拡大","扩大","名・自他動3"
"覚ます","覚ます","弄醒；使醒悟","他動1"
"覚悟","覚悟","决心；精神准备；死心","名・自他動3"
"角度","角度","角度；立场","名"
"学問","学問","学问；学业；学术","名・自動3"
"割合","割合","比例","名"
"乾燥","乾燥","干燥","名・自他動3"
"完成","完成","完成","名・自他動3"
"完全","完全","完全；完整；完善","名・ナ形"
"感情","感情","感情，情绪","名"
"感動","感動","感动","名・自動3"
"監督","監督","监督；导演；教练","名・他動3"
"看病","看病","护理，看护","名・他動3"
"管理","管理","管理，管辖","名・他動3"
"間隔","間隔","间隔","名"
"関する","関する","与……有关，关于","自動3"
"関わる","関わる","大有关系，关系到；有牵连","自動1"
"関心","関心","关心，感兴趣","名"
"含む","含む","包括；怀（恨）","他動1"
"含める","含める","包含，包括","他動2"
"岩","岩","岩石","名"
"願う","願う","希望；请求；祝愿","他動1"
"基礎","基礎","根基；基础","名"
"基本","基本","基本，基础","名"
"寄せる","寄せる","靠近；使靠近；聚集；寄送","自他動2"
"既に","すでに","已经","副"
"機器","機器","机械和器具","名"
"機嫌","機嫌","心情","ナ形・名"
"気付く","気づく","注意到，发觉","自動1"
"気の毒","気の毒","可怜，悲惨","ナ形・名・自動3"
"気楽","気楽","轻松，安闲","名・ナ形"
"記憶","記憶","记忆；记忆力","名・他動3"
"記事","記事","新闻，报道","名"
"輝く","輝く","闪耀；充满","自動1"
"疑う","疑う","怀疑，猜疑","他動1"
"義務","義務","义务，本分","名"
"議員","議員","议员","名"
"議論","議論","议论，讨论","名・他動3"
"休憩","休憩","休息，歇","名・自動3"
"休講","休講","停课","名・自動3"
"及ぼす","及ぼす","波及，带来，牵涉","他動1"
"急速","急速","迅速，快速","ナ形"
"求める","求める","寻求；想要；要求","他動2"
"巨大","巨大","巨大","ナ形"
"競技","競技","体育比赛","名・自動3"
"協力","協力","协力；合作","名・自動3"
"強調","強調","强调","名・他動3"
"恐れる","恐れる","害怕；担心","自他動2"
"恐縮","恐縮","（表示客气或谢意）对不起，过意不去","名・自動3"
"挟まる","挟まる","夹住；夹在双方中间","自動1"
"挟む","挟む","夹；插；隔","他動1"
"近付ける","近づける","使靠近；使亲近","他動2"
"近寄る","近寄る","靠近；亲近","自動1"
"近代","近代","近代；现代","名"
"近年","近年","近几年","名"
"金属","金属","金属","名"
"区別","区別","区别；辨别","名・他動3"
"苦労","苦労","辛苦，艰苦；费事","ナ形・名・自動3"
"偶然","偶然","偶然","ナ形・副・名"
"掘る","掘る","挖；发掘","他動1"
"繰り返す","繰り返す","反复，重复","他動1"
"傾向","傾向","倾向，趋势","名"
"契約","契約","合同","名・他動3"
"形式","形式","形式","名"
"敬意","敬意","敬意","名"
"稽古","稽古","练习，练功；排练","名・他動3"
"経営","経営","经营，运营","名・他動3"
"警備","警備","警备，警戒","名・他動3"
"芸術","芸術","艺术","名"
"激しい","激しい","激烈的；（程度）厉害的","イ形"
"隙間","隙間","缝隙；闲暇","名"
"欠ける","欠ける","缺口；缺少，欠缺","自動2"
"欠勤","欠勤","缺勤，请假","名・自動3"
"決心","決心","决心，决意","名・自他動3"
"血液","血液","血液","名"
"建築","建築","建造；建筑物","名・他動3"
"検討","検討","讨论，探讨研究","名・他動3"
"研修","研修","研究；培训","名・他動3"
"絹","絹","丝绸","名"
"見かけ","見かけ","外观，外貌","名"
"見詰める","見つめる","凝视；关注","他動2"
"見送る","見送る","目送；送行；搁置","他動1"
"見舞う","見舞う","慰问；遭受","他動1"
"謙虚","謙虚","谦虚","ナ形"
"謙遜","謙遜","谦逊；谦让","ナ形・名・自他動3"
"原稿","原稿","原稿，底稿","名"
"現れる","現れる","出现；显现","自動2"
"現実","現実","现实","名"
"現象","現象","现象","名"
"現状","現状","现状","名"
"現代","現代","现代，如今，当代","名"
"限り","限り","限度，极限；在……范围内；只要……就……","名"
"呼吸","呼吸","呼吸","名・自他動3"
"固まる","固まる","凝固；聚集到一起；稳固","自動1"
"語る","語る","谈，讲述","他動1"
"誤解","誤解","误解，误会","名・自他動3"
"公害","公害","公害","名"
"公共","公共","公共","名"
"向ける","向ける","向，对；派遣","自他動2"
"幸福","幸福","幸福","名・ナ形"
"広がる","広がる","（面积）扩大；（范围）扩大，蔓延","自動1"
"広げる","広げる","扩大（物理上的面积）；扩大（范围）","他動2"
"広める","広める","扩大（抽象的范围）；普及，推广","他動2"
"慌てる","慌てる","惊慌；急忙","自動2"
"更に","さらに","更加；再","副"
"航空","航空","航空","名"
"荒い","荒い","粗暴的；剧烈的；胡乱的","イ形"
"講座","講座","讲座","名"
"項目","項目","项目；条目","名"
"香水","香水","香水","名"
"高める","高める","提高","他動2"
"合図","合図","信号；暗号","名・自他動3"
"国会","国会","国会","名"
"腰掛ける","腰掛ける","坐下","自動2"
"骨","骨","骨；骨架；骨气","名"
"骨折","骨折","骨折","名・自他動3"
"根","根","根；起源；性质","名"
"混乱","混乱","混乱","名・自動3"
"左右","左右","左右；周围；支配","名・他動3"
"最終","最終","最后；最末尾","名"
"最小","最小","最小","名"
"才能","才能","才能","名"
"採点","採点","评分","名・他動3"
"砕ける","砕ける","破碎，粉碎；受挫折","自動2"
"細長い","細長い","细长的","イ形"
"載せる","載せる","装上；摆上；刊载","他動2"
"載る","載る","放在……上；登载","自動1"
"財産","財産","财产","名"
"作業","作業","工作，作业","名"
"作成","作成","写；拟订","名・他動3"
"撮影","撮影","摄影；拍照","名・他動3"
"参考","参考","参考","名"
"惨め","惨め","凄惨，悲惨","ナ形"
"産地","産地","产地","名"
"刺す","刺す","刺，穿","他動1"
"司会","司会","主持，主持人","名・自他動3"
"指導","指導","指导","名・他動3"
"支える","支える","支撑；维持","他動2"
"死亡","死亡","死亡","名・自動3"
"事実","事実","事实，真相；事实上，确实","副・名"
"事情","事情","情况；缘故","名"
"持ち帰る","持ち帰る","带回（东西）","他動1"
"時期","時期","时期；季节","名"
"時刻","時刻","时刻；时间","名"
"示す","示す","出示，给对方看；表示；指示","他動1"
"失う","失う","失去；错过；迷失","他動1"
"失業","失業","失业","名・自動3"
"失望","失望","失望","名・自動3"
"失恋","失恋","失恋","名・自動3"
"実に","実に","实在，的确","副"
"実感","実感","真实感，体会","名・他動3"
"実現","実現","实现","名・自他動3"
"実行","実行","实行","名・他動3"
"実習","実習","实习","名・他動3"
"実績","実績","实际成绩，实际成果","名"
"実用","実用","实用","名"
"実力","実力","实力","名"
"芝生","芝生","草坪","名"
"車掌","車掌","乘务员，列车员","名"
"主張","主張","主张，论点","名・他動3"
"主要","主要","主要","ナ形"
"取り出す","取り出す","拿出；选出","他動1"
"取り消す","取り消す","取消；吊销","他動1"
"手段","手段","手段","名"
"手入れ","手入れ","收拾，修整","名・他動3"
"種","種","种子；原因；素材","名"
"周辺","周辺","周边，四周","名"
"就く","就く","就，就职，上任","自動1"
"就職","就職","就职，找工作","名・自動3"
"終了","終了","结束","名・自他動3"
"蹴る","蹴る","踢；拒绝","他動1"
"集団","集団","集体，集团","名"
"集中","集中","集中","名・自他動3"
"「見 難[にく]い」の意","醜い","丑的；可耻的","イ形"
"住居","住居","住所，住宅","名・自動3"
"住宅","住宅","住宅，住房","名"
"従う","従う","跟随；沿；听从；依照","自動1"
"重なる","重なる","重叠；赶在一起","自動1"
"重ねる","重ねる","重叠地堆放；反复","他動2"
"重大","重大","重大；严重","ナ形"
"重点","重点","重点","名"
"重量","重量","重量；分量重","名"
"出勤","出勤","出勤，上班","名・自動3"
"出迎える","出迎える","迎接","他動2"
"出版","出版","出版","名・他動3"
"出来事","出来事","事件，事故","名"
"述べる","述べる","叙述；说明","他動2"
"順序","順序","顺序；程序","名"
"順調","順調","顺利，顺畅","名・ナ形"
"処理","処理","处理，办理","名・他動3"
"初対面","初対面","初次见面","名"
"助かる","助かる","得救；负担减轻","自動1"
"勝手","勝手","方便；情况","名・ナ形"
"商業","商業","商业","名"
"小麦","小麦","小麦","名"
"消費","消費","消费；花费","名・他動3"
"証明","証明","证明；证据","名・他動3"
"賞","賞","奖，奖赏","名"
"賞味期限","賞味期限","品尝期限，有效期","名"
"鐘","鐘","钟，钟声","名"
"上達","上達","长进，进步","名・自動3"
"乗客","乗客","乘客，旅客","名"
"常に","常に","时常，经常","副"
"常識","常識","常识","名"
"条件","条件","条件","名"
"状況","状況","情况，状况","名"
"蒸気","蒸気","蒸汽；水蒸气","名"
"飾り","飾り","装饰","名"
"拭く","拭く","擦，抹","他動1"
"触れる","触れる","碰触；触动；涉及","自他動2"
"食う","食う","（男性用语）吃；生活；（くう）花费","自他動1"
"食費","食費","伙食费，饭费","名"
"食物","食物","食物","名"
"食料","食料","（主食以外的）食物，食材","名"
"信用","信用","相信；信誉","名・他動3"
"信頼","信頼","信任，信赖","名・他動3"
"心理","心理","心理","名"
"振る舞う","振る舞う","行动，动作；招待","自他動1"
"新た","新た","新；重新","ナ形"
"森林","森林","森林","名"
"深まる","深まる","加深，变深","自動1"
"深刻","深刻","严肃，严重","ナ形"
"申し訳ない","申し訳ない","十分抱歉","イ形"
"真っ青","真っ青","蔚蓝；苍白","名・ナ形"
"真っ赤","真っ赤","通红，鲜红","名・ナ形"
"「…まねて～する」の形で自動詞としても使う","真似る","效仿，模仿","他動2"
"身分","身分","身份；社会地位","名"
"進歩","進歩","进步","名・自動3"
"針","針","针；刺","名"
"震える","震える","震动；发抖","自動2"
"人事","人事","人事；人世间的事","名"
"人生","人生","人生","名"
"人物","人物","人物；人品；人才","名"
"水蒸気","水蒸気","水蒸气","名"
"水分","水分","水分","名"
"睡眠","睡眠","睡眠","名・自動3"
"数える","数える","数，计算","他動2"
"姓","姓","姓氏","名"
"性質","性質","性格，性情；性质","名"
"性能","性能","性能，效能","名"
"成立","成立","成立；通过","名・自動3"
"政府","政府","政府","名"
"正に","正に","确实，就是","副"
"正式","正式","正式；正规","名・ナ形"
"正方形","正方形","正方形","名"
"正面","正面","正面；对面","名"
"生","生","生；直接","名"
"生き生き","生き生き","生动，生气勃勃","副・自動3"
"生じる","生じる","长；发生，产生","自他動2"
"生存","生存","生存","名・自動3"
"生地","生地","布料；本来面目","名"
"生物","生物","生物","名"
"生命","生命","生命，性命；关键","名"
"盛る","盛る","盛满；堆高","他動1"
"製作","製作","制造，制作","名・他動3"
"製品","製品","制品，产品","名"
"税金","税金","税款，税金","名"
"惜しい","惜しい","可惜；珍惜","イ形"
"責任","責任","责任；职责","名"
"設計","設計","设计；规划","名・他動3"
"設備","設備","设备","他動3・名"
"絶えず","絶えず","不断地，总是","副"
"絶対","絶対","绝对；决，决（不）","名・副"
"先程","先ほど","刚才","名・副"
"宣伝","宣伝","宣传；夸大宣传","名・他動3"
"闘う","戦う","战斗；与……作斗争；比赛","自動1"
"選択","選択","选择，挑选","名・他動3"
"全身","全身","全身","名"
"祖先","祖先","祖先","名"
"組み立てる","組み立てる","组织；装配；组成","他動2"
"組む","組む","联合，组织，组成；交叉；交叉搭成","自他動1"
"組合","組合","公会；工会","名"
"創作","創作","创作，创造","名・他動3"
"倉庫","倉庫","仓库","名"
"爽やか","爽やか","（天气）清爽；（心情）爽快；爽朗","ナ形"
"想像","想像","想象","名・他動3"
"操作","操作","操作，操纵","名・他動3"
"争う","争う","争夺；争论","自他動1"
"送別","送別","送别，送行","名・他動3"
"騒音","騒音","杂音，噪声","名"
"増加","増加","增加，增多","名・自他動3"
"憎らしい","憎らしい","可恶的，可憎的","イ形"
"足元；一般に「足下」と書く。「足もと」も多い","足下","脚下，身边；脚步；立场","名"
"存在","存在","存在","名・自動3"
"尊敬","尊敬","尊敬，敬仰","名・他動3"
"多少","多少","多少；稍微","名・副"
"打ち合わせ","打ち合わせ","碰头，事先商量","名"
"対する","対する","面对；对待；对于；对抗","自動3"
"対策","対策","对策","名"
"対照","対照","相互对照；明显的差别","名・他動3"
"対象","対象","对象","名"
"待ち合わせる","待ち合わせる","等候，碰头","他動2"
"滞在","滞在","逗留，旅居","名・自動3"
